role,skills
Data Scientist,Python;SQL;Machine Learning;Data Analysis;Statistics
DevOps Engineer,AWS;Docker;Kubernetes;CI/CD;Automation;Linux
Backend Developer,Java;Python;SQL;APIs;Data Structures
Frontend Developer,JavaScript;React;HTML;CSS;Web Design
Cloud Architect,AWS;Cloud Computing;Automation;Networking;Security
Cybersecurity Analyst,Security;Networking;Linux;Python;Risk Assessment
ML Engineer,Python;Machine Learning;TensorFlow;Data Structures;Statistics
Mobile Developer,Java;Kotlin;Swift;APIs;Mobile UI
Database Administrator,SQL;Database Design;Linux;Data Structures;Backup Management
Full Stack Developer,JavaScript;React;Python;SQL;APIs;Node.js
QA Engineer,Testing;Automation;Python;CI/CD;Bug Tracking
Systems Administrator,Linux;Networking;Automation;Security;Backup Management
